0;22502;23254;730;166

0;23159;23205;725;138

0;22584;22730;725;196

0;19627;21354;726;461

0;22026;22055;727;99

0;24042;24144;725;103

0;24459;24752;726;156

0;22554;22554;729;1

0;22737;22991;726;160

0;23445;23689;734;100

0;42231;42231;725;1

0;40923;41572;726;288

0;41056;41203;725;102

0;43503;43836;725;244

0;40885;41331;724;339

0;42030;42050;724;155

0;40309;40776;726;183

0;41895;43753;726;362

0;42169;42612;725;140

0;43912;43912;726;1

0;58815;59249;724;275

0;60952;61376;726;139

0;59125;59447;724;142

0;59997;59997;724;1

0;60746;60746;724;1

0;57858;58424;724;210

0;60776;60853;724;148

0;59696;60883;725;370

0;58264;58416;724;161

0;59650;59650;724;1

