0;22502;23150;363;328

0;23159;23159;362;1

0;22584;22708;364;182

0;19627;21215;362;618

0;22026;22055;364;99

0;24042;24042;362;1

0;24459;24848;364;274

0;22554;22554;363;1

0;22737;22737;365;1

0;23445;23445;362;1

0;42231;42231;363;1

0;40923;41211;362;194

0;41056;41132;362;58

0;43503;43842;363;116

0;40885;40885;362;1

0;42030;42030;362;1

0;40309;40309;363;1

0;41895;43717;362;470

0;42169;42416;362;178

0;43912;44067;364;191

0;58815;58815;362;1

0;60952;61307;362;189

0;59125;59132;362;84

0;59997;59997;362;1

0;60746;60746;362;1

0;57858;57898;362;155

0;60776;60776;363;1

0;59696;59696;362;1

0;58264;58719;362;292

0;59650;59835;362;118

